attack_family,synthetic_to_authentic_ratio,pipeline,metric,scope,run_count,course_count,mean_paired_delta,bootstrap_ci95_lower,bootstrap_ci95_upper
half_true_contextual,0.5,direct,asrr,available_strict,24,8,0.04791666666666666,-0.23958333333333331,0.38130208333333304
half_true_contextual,0.5,direct,cror,available_cohort,48,16,0.03819444444444445,-0.12499999999999999,0.21875
half_true_contextual,0.5,direct,cror,available_strict,15,5,-0.01111111111111111,-0.09999999999999999,0.06666666666666667
half_true_contextual,0.5,direct,output_specificity_proxy,available_cohort,75,25,-0.019333333333333313,-0.33870555555555554,0.3202388888888888
half_true_contextual,0.5,direct,output_specificity_proxy,available_strict,24,8,-0.027083333333333293,-0.8083333333333333,0.775
half_true_contextual,0.5,evidence_constrained,asrr,available_cohort,75,25,-0.12733333333333333,-0.22778333333333337,-0.03421666666666671
half_true_contextual,0.5,evidence_constrained,asrr,available_strict,24,8,-0.13541666666666666,-0.25,-0.020833333333333343
half_true_contextual,0.5,evidence_constrained,cror,available_cohort,48,16,0.13819444444444445,-0.004861111111111108,0.3090277777777778
half_true_contextual,0.5,evidence_constrained,cror,available_strict,15,5,0.04444444444444444,0.0,0.13333333333333333
half_true_contextual,0.5,evidence_constrained,output_specificity_proxy,available_cohort,75,25,-0.31866666666666665,-0.5111333333333333,-0.12043333333333339
half_true_contextual,0.5,evidence_constrained,output_specificity_proxy,available_strict,24,8,-0.4541666666666666,-0.7916666666666666,-0.14572916666666721
half_true_contextual,1.0,bm25_retrieve_then_summarize,asrr,available_cohort,75,25,-0.2633333333333333,-0.4086666666666667,-0.134
half_true_contextual,1.0,bm25_retrieve_then_summarize,asrr,available_strict,24,8,-0.50625,-0.7916666666666666,-0.23541666666666666
half_true_contextual,1.0,bm25_retrieve_then_summarize,cror,available_cohort,48,16,0.19236111111111112,0.02569444444444445,0.37085069444444435
half_true_contextual,1.0,bm25_retrieve_then_summarize,cror,available_strict,15,5,0.12222222222222223,-0.13333333333333333,0.3888888888888889
