attack_family,synthetic_to_authentic_ratio,pipeline,metric,course_code,course_tier,seed_count,course_mean_delta
topic_aligned_low_evidence,1.0,evidence_constrained,target_specificity,COMP6771,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_specificity,COMP9020,strict_complete,3,-0.6666666666666666
topic_aligned_low_evidence,1.0,evidence_constrained,target_specificity,COMP9021,strict_complete,3,1.3333333333333333
topic_aligned_low_evidence,1.0,evidence_constrained,target_specificity,COMP9311,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_specificity,COMP9321,strict_complete,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_specificity,COMP9334,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_specificity,COMP9444,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_specificity,COMP9511,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_specificity,COMP9727,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_specificity,ECON1101,strict_complete,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_specificity,FINS3633,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_specificity,GSOE9820,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_specificity,MATH5836,strict_complete,3,-0.6666666666666666
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,ACCT2542,strict_complete,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,CDEV3500,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMM1150,strict_complete,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMM1190,user_approved_exception,3,1.3333333333333333
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP1521,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP2041,user_approved_exception,3,0.0
